,Company,Net Income Incl Extra Before Distributions,Percentage of Green Products,Date,ESG Period Last Update Date,ESG Score,ESG Controversies Score,Environmental Controversies Count,Human Rights Controversies,Business Ethics Controversies,Wages Working Condition Controversies Count,Controversies Customer Health & Safety,Waste Recycling Ratio,Waste Total,Total Renewable Energy To Energy Use in million,Total Renewable Energy,Environmental Expenditures,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million Score",Estimated CO2 Equivalents Emission Total,Water Use To Revenues USD in million,Environmental Pillar Score,Emissions Score,Environmental Innovation Score,Resource Use Score,Total CO2 Equivalent Emissions To Revenues USD in million,Energy Use Total,Board Meeting Attendance Average,"Board Gender Diversity, Percent",CSR Strategy Score,Management Score,Shareholders Score,ESG Reporting Scope,Board Size,Total Donations To Revenues in million,Product Responsibility Score,Workforce Score,Human Rights Score,Community Score,Women Managers,Gender Pay Gap Percentage,Women Employees,Employees With Disabilities,Policy Diversity and Opportunity Score,Training Hours Total,Average Training Hours
178,AVB.N,683567000.0,,2013-12-31,2022-10-20T00:00:00Z,74.4989175778949,100.0,,,,,,,,,,4900000.0,72.8571428571429,73602.0,8530.52630046325,64.6995476433679,62.3595505617977,85.6060606060606,61.6666666666667,50.3116709651444,965160.0,75.0,11.1111111111111,53.3393501805054,86.7451381780962,52.661207778915,100.0,9.0,,80.8641975308642,88.1294964028777,46.6666666666667,94.2446043165468,,,39.0,,72.6618705035971,85000.0,29.36
179,AVB.N,742038000.0,,2014-12-31,2023-05-12T00:00:00Z,75.3493556373878,100.0,,,,,,,,,,3200000.0,,79861.0,7179.89677703062,65.3598686761,67.1875,83.5820895522388,59.0909090909091,47.393536495118,992260.8,75.0,10.0,53.7477148080439,92.5793244626407,57.2671443193449,100.0,10.0,,82.0652173913044,85.958904109589,37.5,88.3561643835616,,,39.0,,68.7074829931973,90000.0,30.27
180,AVB.N,1034002000.0,,2015-12-31,2022-08-11T00:00:00Z,80.6885786874729,100.0,,,,,,,,,,7400000.0,79.7619047619048,75823.0,6342.25883607359,74.632925170068,74.0,82.7380952380952,73.2,40.8522931766116,988344.0,75.0,10.0,76.9543973941368,92.2487745098039,50.4595588235294,100.0,10.0,592.663472749334,90.9090909090909,89.4190871369295,10.6060606060606,97.3029045643154,,,38.0,,68.2608695652174,104000.0,34.97
181,AVB.N,876921000.0,,2016-12-31,2024-01-19T00:00:00Z,75.5217808263559,100.0,,,,,,,,,,10600000.0,73.9583333333333,76888.0,5706.80557045454,75.1867363161481,73.5294117647059,83.5,74.6621621621622,37.5933563296508,1001937.6,75.0,18.1818181818182,84.947049924357,69.0486348122867,88.2465870307167,100.0,11.0,684.511222317022,44.7698744769874,90.5498281786942,5.55555555555556,98.4536082474227,,,38.0,,68.5251798561151,63112.0,20.625
182,AVB.N,974525000.0,,2017-12-31,2024-01-19T00:00:00Z,76.3100848727258,100.0,,,,,,,,,,3400000.0,78.7037037037037,81250.0,5320.3575358978,73.2223595299764,73.9010989010989,81.5789473684211,70.4968944099379,37.63964888809,1034881.2,75.0,18.1818181818182,83.8356164383562,74.1243131868132,80.1339285714286,100.0,11.0,903.351573314161,43.7007874015748,86.271186440678,74.5454545454545,98.8135593220339,,,38.0,,67.4576271186441,64936.0,20.833
183,AVB.N,785974000.0,,2018-12-31,2024-09-12T00:00:00Z,75.9704105168439,100.0,,,,,,,,,,14700000.0,81.7460317460317,79590.0,5099.24445617161,73.7203248139678,78.2710280373832,79.2592592592593,68.0693069306931,34.8385995399501,1056898.0872,75.0,18.1818181818182,83.4109429569267,75.7833333333333,77.3833333333333,100.0,11.0,919.224262267814,42.9078014184397,83.8557993730408,60.8910891089109,97.9623824451411,40.0,,39.0,,64.1065830721003,60991.0,19.7
184,AVB.N,827630000.0,,2019-12-31,2024-09-12T00:00:00Z,76.1933997788785,100.0,,,,,,,,,,2310000.0,85.6382978723404,80402.0,4948.89028368864,62.0884126870359,67.4216027874565,80.110497237569,52.5830258302583,34.5870690597111,1046790.7848,75.0,20.0,83.8879159369527,92.8161834979293,89.2163109270468,100.0,10.0,946.388795444945,41.2772585669782,80.7584269662921,91.358024691358,97.3314606741573,40.0,,39.0,,59.4101123595506,76808.0,24.53146
185,AVB.N,1004299000.0,,2020-12-31,2024-09-12T00:00:00Z,74.3995604172542,100.0,,,,,,,,,4321.26,2170000.0,34.0163934426229,57805.0,5445.54923943003,60.6857725232446,65.3963414634146,81.8807339449541,50.9708737864078,25.118837020225,,75.0,20.0,84.75935828877,87.2581620314389,81.0912938331318,100.0,10.0,1042.90647605813,40.9356725146199,85.2702702702703,89.7560975609756,97.4324324324324,40.0,,39.0,,55.2702702702703,54776.0,17.65828
186,AVB.N,1136775000.0,,2021-12-31,2024-09-11T00:00:00Z,71.975898347763,100.0,,,,,,,,,9226.087,4110000.0,45.5479452054795,49810.0,5448.22414836264,76.7662345506916,81.353591160221,80.6584362139918,71.4925373134328,21.7051223391507,,75.0,25.0,85.2134949920928,51.0979485697775,72.5946258306848,100.0,12.0,1089.39582107763,40.0544959128065,83.974358974359,87.5,98.0769230769231,,,39.0,,54.4871794871795,58335.0,20.081
187,AVB.N,928825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,TPR.N,402400000.0,,2013-06-29,2022-09-08T00:00:00Z,38.3177565105879,100.0,,,,,,,,,,,,53843.0,,38.7926723200696,45.8904109589041,0.0,61.3095238095238,10.6086428826159,397243.056,75.0,33.3333333333333,62.5451263537906,21.6479017400205,48.1064483111566,64.8,9.0,1186.50980515783,19.7530864197531,82.5892857142857,26.984126984127,44.0909090909091,64.0,,79.0,,64.4859813084112,,
